latitude,longitude,time,GPI
38.5,35.5,13602255.0,2.9516184
38.5,36.5,13602255.0,2.597621
38.5,37.5,13602255.0,0.8977585
38.5,38.5,13602255.0,0.06479999
38.5,39.5,13602255.0,0.0062216045
38.5,40.5,13602255.0,0.0
38.5,41.5,13602255.0,0.0
38.5,42.5,13602255.0,0.0
38.5,43.5,13602255.0,0.0
38.5,44.5,13602255.0,0.0
38.5,45.5,13602255.0,0.0
38.5,46.5,13602255.0,0.0
38.5,47.5,13602255.0,0.0
38.5,48.5,13602255.0,0.0
38.5,49.5,13602255.0,0.0
38.5,50.5,13602255.0,0.0
38.5,51.5,13602255.0,0.0
38.5,52.5,13602255.0,0.0
38.5,53.5,13602255.0,0.0
38.5,54.5,13602255.0,0.0
38.5,55.5,13602255.0,0.0
38.5,56.5,13602255.0,0.0
38.5,57.5,13602255.0,0.0
38.5,58.5,13602255.0,0.0
38.5,59.5,13602255.0,0.0
38.5,60.5,13602255.0,0.0
38.5,61.5,13602255.0,0.0
38.5,62.5,13602255.0,0.0
38.5,63.5,13602255.0,0.0
38.5,64.5,13602255.0,0.0
38.5,65.5,13602255.0,0.0
38.5,66.5,13602255.0,0.0
38.5,67.5,13602255.0,0.0
38.5,68.5,13602255.0,0.0
38.5,69.5,13602255.0,0.0
38.5,70.5,13602255.0,0.0
38.5,71.5,13602255.0,0.0
38.5,72.5,13602255.0,0.0
38.5,73.5,13602255.0,0.0
38.5,74.5,13602255.0,0.0
38.5,75.5,13602255.0,0.0
38.5,76.5,13602255.0,0.0
38.5,77.5,13602255.0,0.0
38.5,78.5,13602255.0,0.0
38.5,79.5,13602255.0,0.0
38.5,80.5,13602255.0,0.014837473
38.5,81.5,13602255.0,0.0062030787
38.5,82.5,13602255.0,0.0
38.5,83.5,13602255.0,0.0
38.5,84.5,13602255.0,0.0
38.5,85.5,13602255.0,0.0
38.5,86.5,13602255.0,0.0
38.5,87.5,13602255.0,0.0
38.5,88.5,13602255.0,0.0
38.5,89.5,13602255.0,0.0
38.5,90.5,13602255.0,0.0
38.5,91.5,13602255.0,0.0
38.5,92.5,13602255.0,0.0
38.5,93.5,13602255.0,0.0
38.5,94.5,13602255.0,0.0
38.5,95.5,13602255.0,0.0
38.5,96.5,13602255.0,0.0
38.5,97.5,13602255.0,0.0
38.5,98.5,13602255.0,0.0
38.5,99.5,13602255.0,0.0034594603
38.5,100.5,13602255.0,0.016450914
38.5,101.5,13602255.0,0.023762237
38.5,102.5,13602255.0,0.061874926
38.5,103.5,13602255.0,0.60715365
38.5,104.5,13602255.0,1.3879634
38.5,105.5,13602255.0,0.7319066
38.5,106.5,13602255.0,0.05755093
38.5,107.5,13602255.0,0.0
38.5,108.5,13602255.0,0.0
38.5,109.5,13602255.0,0.0
38.5,110.5,13602255.0,0.0
38.5,111.5,13602255.0,0.0
