time,YEAR,MO,DY,HR,T2M,WS10M,RH2M,PRECTOTCORR,LAT,LON
2022-10-24 07:00:00,2022,10,24,7,17.96,3.67,77.54,0.0,12.98,77.57
2022-10-24 08:00:00,2022,10,24,8,20.67,4.24,68.83,0.0,12.98,77.57
2022-10-24 09:00:00,2022,10,24,9,22.58,5.18,61.98,0.0,12.98,77.57
2022-10-24 10:00:00,2022,10,24,10,23.74,5.22,59.62,0.0,12.98,77.57
2022-10-24 11:00:00,2022,10,24,11,24.59,5.3,58.09,0.0,12.98,77.57
2022-10-24 12:00:00,2022,10,24,12,25.12,5.37,57.13,0.0,12.98,77.57
2022-10-24 13:00:00,2022,10,24,13,25.3,5.35,56.75,0.0,12.98,77.57
2022-10-24 14:00:00,2022,10,24,14,25.12,5.15,56.74,0.0,12.98,77.57
2022-10-24 15:00:00,2022,10,24,15,24.59,4.63,57.35,0.0,12.98,77.57
2022-10-24 16:00:00,2022,10,24,16,23.11,3.53,65.28,0.0,12.98,77.57
2022-10-24 17:00:00,2022,10,24,17,19.78,2.85,80.47,0.0,12.98,77.57
2022-10-24 18:00:00,2022,10,24,18,17.76,3.07,82.08,0.0,12.98,77.57
2022-10-24 19:00:00,2022,10,24,19,16.83,3.14,81.73,0.0,12.98,77.57
2022-10-24 20:00:00,2022,10,24,20,16.02,3.17,81.39,0.0,12.98,77.57
2022-10-24 21:00:00,2022,10,24,21,15.39,3.13,81.25,0.0,12.98,77.57
2022-10-24 22:00:00,2022,10,24,22,14.91,3.06,81.03,0.0,12.98,77.57
2022-10-24 23:00:00,2022,10,24,23,14.56,2.96,80.64,0.0,12.98,77.57
2022-10-25 00:00:00,2022,10,25,0,14.32,2.83,79.88,0.0,12.98,77.57
2022-10-25 01:00:00,2022,10,25,1,14.12,2.7,79.14,0.0,12.98,77.57
2022-10-25 02:00:00,2022,10,25,2,13.9,2.57,78.77,0.0,12.98,77.57
2022-10-25 03:00:00,2022,10,25,3,13.76,2.48,78.48,0.0,12.98,77.57
2022-10-25 04:00:00,2022,10,25,4,13.63,2.43,78.43,0.0,12.98,77.57
2022-10-25 05:00:00,2022,10,25,5,13.52,2.41,78.87,0.0,12.98,77.57
